target_end_date,horizon,output_type_id,value,location,target,Model,output_type,reference_date
2025-12-06,2,large_decrease,0.0,09,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,stable,0.8425069,09,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,increase,0.1376826964818939,09,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_increase,0.019810403518106146,09,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,decrease,0.0,09,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_decrease,0.0,09,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,stable,1.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,increase,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_increase,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,stable,1.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,increase,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_increase,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,stable,1.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,increase,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_increase,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,stable,0.9686108969463303,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,increase,0.03138910305366971,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_increase,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_decrease,0.0,10,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,stable,1.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,increase,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_increase,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,stable,0.965,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,increase,0.03500000000000003,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_increase,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
